round,central_mta,dist_mta,central_loss
1,0.7198,0.7198,0.8201
2,0.7193,0.7193,0.8307
3,0.7230,0.7230,0.8043
4,0.7224,0.7224,0.8053
5,0.7256,0.7256,0.7980
6,0.7077,0.7077,0.8541
7,0.7224,0.7224,0.8042
8,0.7261,0.7261,0.7916
9,0.7161,0.7161,0.8228
10,0.7193,0.7193,0.8112
11,0.7172,0.7172,0.8198
12,0.7187,0.7187,0.8298
13,0.7071,0.7071,0.8508
14,0.7103,0.7103,0.8484
15,0.7177,0.7177,0.8191
16,0.7177,0.7177,0.8199
17,0.7166,0.7166,0.8218
18,0.7177,0.7177,0.8326
19,0.7187,0.7187,0.8201
20,0.7140,0.7140,0.8461
21,0.7177,0.7177,0.8248
22,0.7119,0.7119,0.8403
23,0.7071,0.7071,0.8639
24,0.7182,0.7182,0.8497
25,0.7235,0.7235,0.8081
26,0.7193,0.7193,0.8227
27,0.7156,0.7156,0.8305
28,0.7129,0.7129,0.8496
29,0.7187,0.7187,0.8221
30,0.7161,0.7161,0.8391
